nomor_kelurahan;nama_kelurahan;laki_laki;perempuan;jumlah_penduduk;jumlah_luas_wilayah_(km2);jumlah_kepadatan_(jiwa/km2);umur_15-19;umur_20-24;umur_25-29;umur_30-34;umur_35-39;umur_40-44;Economic_status;persentase_umur_15_34
317451006;KEBAYORAN LAMA SELATAN;23812;23235;47047;257;1966604463;3898;3415;3439;3836;4691;4654;6;0.310072906
317451001;KEBAYORAN LAMA UTARA;25189;24139;49328;178;2968634272;2239;3593;3741;4364;5119;4721;6;0.282537301
317411004;KEBON BARU;21214;20799;42013;129;3391754969;1811;3007;2912;3390;4014;3860;6;0.26467998
317221005;KEBON BAWANG;31167;29710;60877;173;3739085119;2562;4631;4931;3149;6221;3208;4;0.250882928
317351001;KEBON JERUK;29518;29088;58606;369;1826547474;4906;4635;5037;5717;3458;5580;3;0.346295601
317171006;KEBON KACANG;13742;13215;26957;71;3826478873;2118;2006;2021;2222;2378;1982;5;0.310383203
317111005;KEBON KELAPA;6432;6337;12769;78;1656338028;1016;903;987;1000;1137;950;5;0.305897095
317131002;KEBON KOSONG;17718;17658;35376;116;3313034465;3160;2678;2621;3054;3413;3055;5;0.32544663
317511005;KEBON MANGGIS;9920;9726;19646;78;2558112773;1601;1625;1579;1484;1525;1563;2;0.320116054
317171005;KEBON MELATI;21233;20076;41309;126;3311310993;1851;1721;3316;3462;1968;3149;5;0.250550727
317581003;KEBON PALA;27274;26224;53498;23;2546535948;4253;4118;4656;4727;5651;5102;2;0.331862873
317161005;KEBON SIRIH;8252;7778;16030;83;1855275779;1248;1210;1134;1282;1406;1269;5;0.304054897
317311004;KEDAUNG KALI ANGKE;19156;17892;37048;281;1458681358;3035;2894;3087;3647;4073;3607;3;0.341799827
317351007;KEDOYA SELATAN;18080;17767;35847;228;1755932055;2728;2600;1670;3657;2193;1829;3;0.297235473
317351006;KEDOYA UTARA;25755;25194;50949;315;1792744139;3955;3912;4262;4962;5570;4541;3;0.3354531
317351004;KELAPA DUA;13415;13288;26703;15;1952244762;2152;2003;2225;2451;1518;1385;3;0.330711905
317591003;KELAPA DUA WETAN;25322;25365;50687;337;1739031051;2087;4273;4523;4969;2896;4523;2;0.312742912
317261003;KELAPA GADING BARAT;19555;20074;39629;453;9541181144;3049;1692;1535;3402;2254;3547;4;0.244215095
317261001;KELAPA GADING TIMUR;18666;19826;38492;531;7580195258;2353;2245;1572;3705;4000;3299;4;0.256546815
317371005;KEMANGGISAN;18639;18398;37037;211;186835503;3095;2846;2837;3099;3510;3332;3;0.320679321
